iter	Passed	Remaining
0	64	64512
1	65	32837
2	66	22170
3	67	16858
4	68	13644
5	70	11690
6	72	10275
7	74	9187
8	75	8303
9	76	7556
10	77	7005
11	78	6496
12	79	6061
13	80	5679
14	81	5349
15	82	5066
16	83	4812
17	85	4672
18	89	4598
19	90	4419
20	91	4258
21	92	4111
22	93	3975
23	94	3850
24	95	3737
25	96	3632
26	97	3526
27	100	3495
28	102	3430
29	103	3350
30	104	3269
31	105	3190
32	106	3121
33	107	3054
34	108	2987
35	109	2925
36	110	2864
37	111	2810
38	111	2756
39	113	2723
40	115	2705
41	117	2671
42	118	2628
43	119	2591
44	120	2553
45	121	2516
46	122	2477
47	123	2440
48	123	2404
49	124	2369
50	125	2337
51	126	2306
52	129	2307
53	130	2289
54	132	2272
55	133	2248
56	134	2220
57	135	2193
58	135	2168
59	136	2141
60	137	2117
61	138	2091
62	139	2071
63	140	2048
64	140	2025
65	143	2023
66	144	2017
67	146	2009
68	147	1991
69	148	1972
70	149	1953
71	150	1937
72	151	1919
73	151	1901
74	152	1884
75	153	1867
76	154	1851
77	155	1836
78	157	1835
79	159	1828
80	160	1816
81	161	1804
82	161	1786
83	162	1772
84	163	1763
85	164	1751
86	165	1737
87	166	1724
88	167	1712
89	168	1701
90	169	1689
91	169	1677
92	171	1673
93	173	1670
94	175	1668
95	176	1662
96	177	1653
97	178	1646
98	179	1636
99	180	1626
100	181	1615
101	182	1606
102	183	1598
103	184	1588
104	186	1589
105	188	1586
106	189	1583
107	190	1577
108	192	1571
109	193	1564
110	194	1556
111	195	1548
112	196	1541
113	197	1535
114	198	1527
115	201	1535
116	202	1530
117	204	1528
118	205	1523
119	206	1517
120	207	1510
121	208	1502
122	209	1495
123	210	1488
124	211	1480
125	212	1474
126	213	1465
127	215	1469
128	217	1467
129	219	1466
130	220	1461
131	223	1470
132	224	1465
133	225	1458
134	226	1450
135	227	1443
136	229	1446
137	231	1446
138	233	1448
139	235	1443
140	236	1439
141	236	1431
142	237	1425
143	239	1422
144	240	1415
145	241	1410
146	241	1404
147	244	1406
148	246	1408
149	248	1409
150	250	1407
151	251	1403
152	252	1398
153	253	1394
154	254	1389
155	256	1385
156	258	1385
157	260	1387
158	262	1388
159	264	1386
160	264	1380
161	266	1377
162	267	1375
163	268	1370
164	270	1367
165	271	1362
166	274	1369
167	277	1373
168	278	1369
169	279	1364
170	280	1359
171	281	1354
172	282	1350
173	283	1346
174	284	1340
175	285	1335
176	288	1341
177	290	1342
178	292	1341
179	293	1336
180	294	1333
181	295	1328
182	296	1324
183	297	1319
184	298	1314
185	299	1309
186	300	1304
187	303	1310
188	305	1311
189	306	1308
190	307	1304
191	309	1300
192	310	1297
193	311	1293
194	312	1289
195	313	1284
196	314	1280
197	315	1276
198	317	1278
199	321	1285
200	322	1281
201	323	1277
202	324	1273
203	325	1269
204	326	1264
205	327	1260
206	327	1256
207	329	1254
208	331	1253
209	333	1254
